\\Bb1,bb2,bb3,bb4,bb5,h1,h2,h3,h4,h5,p1,p2,p3,p4,p5]
17,9,29,13,14,9,16,11,41,12,75,28,29,9,22]
15,12,45,25,15,4,6,24,13,1,72,32,42,12,21]
32,0,8,0,1,6,9,0,0,27,1,70,61,44,81]
14,32,66,28,35,0,0,90,9,1,5,22,9,7,22]
6,22,3,33,4,37,19,5,0,71,4,5,0,122,10]
7,51,6,103,61,3,1,73,12,5,5,4,6,2,3]
6,8,7,6,116,20,12,91,7,50,8,4,4,2,2]
44,20,79,50,8,11,6,15,6,14,4,15,30,37,13]
9,9,10,41,11,48,24,40,5,128,6,4,3,7,8]
12,102,25,76,90,4,0,29,2,5,2,2,0,3,2]
30,13,88,17,52,1,2,21,8,0,18,25,50,19,15]
2,27,8,279,10,2,1,8,2,13,1,2,2,1,2]
6,44,40,116,40,10,21,47,1,2,12,6,8,5,3]
1,45,2,92,101,3,2,99,3,3,0,3,1,7,1]
4,55,69,97,45,1,1,67,7,0,2,3,8,5,1]
13,3,18,10,6,86,10,52,24,69,14,6,2,51,3]
11,12,21,11,14,27,17,14,1,9,6,40,31,96,60]
97,55,57,24,28,3,2,48,7,4,3,21,12,5,7]
32,27,30,75,19,26,13,43,7,39,9,13,26,7,8]
55,35,48,51,26,0,0,46,2,0,25,28,37,7,14]
31,25,24,20,17,12,12,25,60,5,32,47,20,26,31]
20,14,40,34,38,9,8,18,34,13,10,38,32,39,40]
80,0,10,1,0,74,71,1,6,15,58,40,6,18,18]
48,14,64,25,16,3,3,37,9,8,86,30,24,15,17]
12,25,7,37,34,1,0,19,60,2,127,31,25,4,16]
41,23,21,35,30,2,22,19,71,5,34,25,34,12,28]
18,54,11,60,110,3,4,52,6,0,3,9,9,67,11]
12,37,49,104,69,0,1,55,3,1,26,10,34,10,8]
14,42,81,105,33,1,0,67,8,0,29,5,15,5,14]
0,5,1,4,51,93,40,6,0,196,2,3,0,18,1]
4,0,2,2,7,47,10,268,6,73,1,1,0,1,0]
9,26,9,29,14,4,4,14,37,2,179,28,46,6,20]
49,31,74,65,28,1,0,129,0,4,0,14,13,12,16]
71,0,2,2,0,13,17,1,0,12,0,13,13,171,129]
14,7,64,20,7,6,15,3,71,14,36,27,32,95,35]
49,43,25,32,32,10,10,18,42,9,25,44,39,44,25]
31,24,43,43,19,17,6,194,5,24,9,7,12,7,8]
22,29,76,39,31,2,3,33,16,3,32,36,60,45,23]
19,22,7,23,25,2,4,7,180,1,97,17,29,4,13]
24,51,1,140,88,6,3,62,4,67,2,0,0,1,2]
25,39,73,76,38,16,21,47,24,21,8,15,24,16,12]
0,21,12,85,65,1,1,221,10,3,29,5,4,2,6]
13,60,23,37,8,10,6,134,7,11,54,32,45,8,24]
2,6,101,28,98,3,0,229,2,4,1,0,1,1,0]
69,32,201,48,29,0,4,14,16,1,8,12,28,8,7]
42,36,136,12,12,2,0,2,1,1,42,67,102,7,18]
14,0,0,0,0,4,185,0,181,1,2,74,3,10,7]
14,111,62,34,58,2,4,170,1,14,4,0,3,1,3]
30,40,66,82,35,1,1,95,9,4,34,25,42,12,15]
34,0,0,0,0,2,81,0,199,6,36,96,8,18,19]
32,11,28,25,22,32,32,34,45,44,46,33,44,42,30]
57,75,52,59,16,92,26,25,5,32,7,5,8,36,8]
45,82,120,60,38,2,5,71,14,0,15,17,16,8,12]
22,22,16,46,41,10,13,49,127,3,88,32,22,5,12]
22,37,41,19,22,3,4,43,34,5,45,50,138,10,39]
19,37,86,121,31,10,5,130,7,15,13,13,24,4,10]
24,10,385,15,31,0,1,3,0,2,6,16,9,16,9]
23,30,137,51,67,14,15,31,3,77,4,22,21,18,20]
15,11,10,1,25,13,13,2,249,47,71,34,38,1,10]
13,8,325,24,23,8,6,71,28,7,1,5,13,5,3]
7,19,9,25,49,4,1,416,7,4,11,7,8,4,8]
36,30,98,31,19,5,2,45,34,5,105,41,75,13,41]
56,0,9,0,1,58,99,1,34,32,19,121,33,65,56]
4,42,8,53,110,5,4,149,33,6,135,16,11,7,1]
110,4,19,12,2,42,19,1,0,21,0,7,4,281,83]
13,51,10,111,30,8,13,154,10,26,127,17,24,16,9]
65,41,41,82,41,50,28,71,15,54,31,34,34,21,14]
0,130,1,276,137,1,2,49,26,3,1,1,5,1,2]
2,44,3,89,68,1,2,416,7,2,5,0,1,2,1]
23,25,46,28,22,30,28,17,36,45,63,82,58,85,55]
37,66,99,127,21,48,28,38,32,21,25,29,31,50,10]
41,34,53,58,37,27,28,126,23,35,10,13,24,133,29]
18,13,24,40,51,7,19,227,168,20,25,15,9,22,14]
51,29,21,46,56,44,52,33,70,37,33,58,32,92,25]
65,21,39,15,23,28,137,30,80,12,24,53,46,60,56]
45,5,167,8,7,17,31,7,12,12,104,28,77,118,65]
86,1,94,1,1,2,0,1,1,2,45,80,96,112,189]
27,43,36,134,61,14,11,86,92,24,82,30,39,14,18]
51,8,30,2,0,26,8,0,8,28,16,116,91,193,137]
76,21,31,55,28,20,53,15,185,17,89,34,25,19,51]
6,21,3,130,20,16,24,153,187,19,3,26,9,55,48]
0,16,3,61,47,6,2,558,14,10,1,4,2,3,5]
48,45,14,40,77,4,3,116,192,13,49,49,36,49,14]
22,74,45,59,10,37,13,19,44,322,2,3,7,98,5]
50,33,78,50,16,36,36,43,33,101,53,54,39,91,52]
24,60,44,89,67,3,4,27,343,4,20,23,38,10,13]
83,35,91,62,11,36,26,123,8,58,10,45,34,54,94]
136,51,140,112,31,33,18,53,14,44,48,24,29,33,12]
28,21,26,48,33,3,0,24,203,10,273,46,44,5,16]
48,64,101,97,70,4,2,66,82,3,75,33,95,9,33]
6,77,107,235,155,2,1,189,13,2,15,3,6,1,2]
29,2,1,3,0,252,180,1,5,312,3,6,2,25,1]
36,73,190,98,76,14,5,108,57,8,53,26,40,35,9]
191,0,7,1,0,0,47,2,9,4,49,346,25,84,78]
40,58,166,69,69,16,1,250,20,5,36,49,47,15,8]
135,33,64,45,32,20,39,16,166,10,112,62,49,34,34]
13,23,172,57,103,6,11,456,12,2,3,1,0,8,0]
53,32,25,36,36,35,35,21,54,64,138,106,74,137,32]
153,56,433,52,46,0,2,12,14,7,23,22,11,23,29]
7,38,31,68,99,3,0,612,6,6,1,5,1,8,6]
86,15,45,4,2,22,52,5,51,66,70,77,38,298,70]
26,50,23,168,57,4,43,35,192,10,128,106,21,17,29]
31,70,37,171,40,121,47,37,10,179,24,15,35,59,40]
474,0,15,11,2,77,73,1,12,47,4,50,1,82,69]
60,39,86,45,28,60,32,70,22,72,66,58,66,182,43]
15,49,21,177,42,8,1,539,13,27,7,2,14,9,6]
118,72,203,66,79,22,7,36,12,60,37,69,45,94,37]
54,134,167,102,91,2,13,66,39,6,23,81,77,74,57]
65,20,121,23,16,68,67,12,14,34,34,84,39,316,75]
80,7,5,13,9,34,215,39,133,11,24,127,72,132,94]
52,213,19,164,247,10,5,215,14,11,18,7,11,13,14]
223,165,290,55,63,1,1,47,1,1,26,57,68,5,17]
0,0,1,0,1,1,297,2,719,7,0,1,0,12,1]
160,56,203,57,33,3,3,21,86,2,97,135,94,29,72]
46,48,68,152,28,131,63,68,53,207,31,30,41,74,17]
120,59,92,114,36,11,15,27,161,13,195,68,72,15,68]
68,51,138,84,75,33,30,89,14,81,19,44,52,212,77]
92,1,4,1,2,161,283,0,43,28,169,122,22,98,63]
307,21,342,24,25,72,36,14,20,106,23,31,13,33,45]
87,52,58,64,55,5,100,39,246,3,97,168,51,48,54]
18,55,92,104,91,2,7,117,29,1,568,22,27,9,7]
89,312,39,173,252,1,1,183,23,3,17,45,46,6,24]
112,149,202,203,256,4,1,214,20,18,2,16,17,21,14]
34,16,58,11,5,147,105,25,82,499,62,28,35,95,51]
28,21,90,25,36,329,77,93,25,443,27,27,19,18,15]
83,110,172,128,122,34,20,125,6,246,10,18,33,141,27]
294,53,61,219,34,102,75,31,4,325,1,22,10,31,44]
69,48,37,81,27,20,27,171,76,39,173,180,147,89,164]
18,306,32,294,271,1,0,307,13,5,3,33,40,4,27]
